method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,heating_residual_x,n_y,n_y_sem,heating_residual_y,n_z,n_z_sem,heating_residual_z,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor,benchmark_status,bptt_duration,bptt_forward_seconds,backward_seconds,bptt_total_seconds,bptt_finite,peak_process_rss_bytes,peak_cuda_allocated_bytes
euler_maruyama,4,0.0025,modulation_minus,1.0,float64,nonfinite,1.51,1128,2.81,0.07732725061941892,1.046028250013478,-1.439652414253823e+163,-inf,80,60400,82400,8.888825729515191e+22,1.0716812934818341e+23,,11.567977321341157,0.7743495097844888,,5.405304902572427,0.2607925381913563,,2.81,50372574669.37876,845899373819.2759,1.578406719518908e+23,1.488648824090648e+25,1.488648824090648e+25,4.8021191320208387e+24,8.454980188637952e+24,8.888825729515191e+22,1.0716812934818341e+23,6.506477221436598,0.7178745119841807,0.16776526502840042,0.012651691789165503,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
euler_maruyama,8,0.00125,modulation_minus,1.0,float64,ok,,2400,3.0,0.1612471860134974,1.251776208053343,10.613620183213355,1.7627979355378411,0,0,0,7.401050742145616,0.43111683982850085,,7.135997257551028,0.22375798446749903,,5.329947461585528,0.26465586347280035,,3.0,0.4290246423967203,0.8755600969661215,0.28031181593747284,2.8597414944790183,2.8597414944790183,2.3989837313769686,2.5892756405518886,2.5540351293661527,0.26511131045664443,2.024899665232681,0.1563027642263851,0.09148738420144342,0.006969222460872906,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
euler_maruyama,16,0.000625,modulation_minus,1.0,float64,ok,,4800,3.0,0.31523620104417205,1.526426333002746,19.313473981068963,3.840286193756101,0,0,0,5.779387832431579,0.27605770253684137,,5.919690972578966,0.13973167011503698,,5.283624685914613,0.2613917702785094,,3.0,0.18797357522160563,0.36798259869158106,0.06871758298759367,0.42821853548352884,0.42821853548352884,0.370699590484842,0.39086577245913606,0.9323722196521168,0.09512289239107335,0.8085933802606191,0.05717078799546005,0.04516460853052901,0.0034479714465240874,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
euler_maruyama,32,0.0003125,modulation_minus,1.0,float64,ok,,9600,3.0,0.6243232112610713,2.0880024580983445,19.586560011705213,4.034959896555334,0,0,0,5.254908210224458,0.2298537236270096,,5.475941833788477,0.11679937094405995,,5.2609283198445524,0.259812638838698,,3.0,0.08869219636925471,0.170640428152922,0.026448182318108793,0.1282630941290348,0.1282630941290348,0.1132540958569841,0.11826682267281469,0.40789259744499606,0.04103057463034928,0.3648442414701304,0.024690791371139303,0.022468242460466196,0.0017137465541698317,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
euler_maruyama,64,0.00015625,modulation_minus,1.0,float64,ok,,19200,3.0,1.251932879909873,3.233424709062092,19.625966106788017,4.050528481941287,0,0,0,5.038441410712092,0.21174321305233854,,5.284893540289178,0.10891904017652124,,5.249622075341319,0.2590269121451986,,3.0,0.04314022123542662,0.08233833922468294,0.011823395001703145,0.05098128923865186,0.05098128923865186,0.04588636359431941,0.04715536947973298,0.1914257979326291,0.01915069063609539,0.17379594797083162,0.011611760746363036,0.011161997957235463,0.0008523234650888524,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
platen,1,0.01,modulation_minus,1.0,float64,ok,,300,3.0,0.04523627657908946,1.0161281670443714,19.53602722748464,4.003241986249405,0,0,0,4.969393264158149,0.21209117507395991,,5.220343348825059,0.09996272214641938,,5.241579772255169,0.25829462883492144,,3.0,0.18442952700343054,0.337271573640852,0.09185055782463532,0.43636567678967353,0.43636567678967353,0.39403353134327634,0.4125785756167386,0.1223776513786865,0.028079086715344634,0.10924575650671232,0.020542973076413864,0.0031196948710839408,0.0016459147794804303,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
platen,2,0.005,modulation_minus,1.0,float64,ok,,600,3.0,0.08667925396002829,1.0735456669935957,19.638018957370768,4.051306200145825,0,0,0,4.859405726801026,0.19652705439860632,,5.134508924989527,0.10252008198983364,,5.239509093325687,0.2576981381612171,,3.0,0.054183039812071,0.09063662540681733,0.021596486393631036,0.09847241789338224,0.09847241789338224,0.08873567228368806,0.09328891472128376,0.012390114021563316,0.005256004079610931,0.02341133267117975,0.007900116095058614,0.0010490159416021937,0.0010417319160802058,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
platen,4,0.0025,modulation_minus,1.0,float64,ok,,1200,3.0,0.16940983361564577,1.1954849580070004,19.640494288905128,4.0511902529073565,0,0,0,4.847878593328468,0.19606504177783576,,5.118702992399022,0.10236075294778686,,5.2391094508143645,0.25815958068434874,,3.0,0.020319745546750232,0.029694228866085942,0.005332992149337858,0.024167300669213354,0.024167300669213354,0.02170078687685173,0.02289210111833731,0.0008629805490045196,0.0027706636311691387,0.0076054000806755695,0.002486528102494555,0.0006493734302798258,0.0005660088005079965,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
platen,8,0.00125,modulation_minus,1.0,float64,ok,,2400,3.0,0.33543066133279353,1.4259237090591341,19.640411542676482,4.051161179650994,0,0,0,4.845528869587542,0.1960444659928618,,5.112799109808782,0.10265155991511923,,5.238365668624454,0.2582367441053173,,3.0,0.008777441301981968,0.01164827772657941,0.001327512534395365,0.006003701066831013,0.006003701066831013,0.005393200703237788,0.0056926965034373375,-0.0014867431919204357,0.0010200628330569528,0.0017015174904352216,0.0012059029273515478,-9.440875963004247e-05,0.00032256062938918763,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
platen,16,0.000625,modulation_minus,1.0,float64,ok,,4800,3.0,0.6657670947024599,1.8854335829382762,19.640370632841492,4.0511539007554545,0,0,0,4.845661131994977,0.19611910661619952,,5.111330897986527,0.10252088056012722,,5.238369443739806,0.25822113807693253,,3.0,0.004166260124549542,0.005200367691884187,0.0003279172137585988,0.0014827044474667872,0.0014827044474667872,0.0013324749168948102,0.001406481290338088,-0.0013544807844856155,0.0005131994989749393,0.00023330566817975957,0.00044376253885987664,-9.063364427751576e-05,0.0001552422732527207,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
